equipRef, equipName, description, onText, offText, ref
A, Intro Pushbutton, Plays the introduction video, Pressed, Not Pressed, 01
B, Multi-Notch Controller, Activates manual override, Activated, Deactivated, 04
C, Multiple Rotary Switches, Activates system override, Activated, Deactivated, 05
D, Keypad Electromagnet, Holds the keypad door closed, Activated, Deactivated, 05
E, Overhead Cabinet Electromagnet, Holds the overhead cabinet door closed, Disengaged, Engaged, 06
F, Overhead Cabinet Door Sensor, Detects if overhead cabinet door is open or closed, Open, Closed, 06
G, Test Tube Switch, Activates the hydraulic to lower the test tube table, Activated, Deactivated, 09
H, Test Tube Hydraulic, Lowers the test tube table, Activated, Deactivated, 09
I, Test Tube Limit Switch A, Detects if test tube table has been lowered, Activated, Deactivated, 09
J, Test Tube Limit Switch B, Detects if test tube table has reached its physical limit, Activated, Deactivated, 09
K, Antidote Electromagnet, Holds the antidote enclosure door closed, Disengaged, Engaged, 09
L, Lever Door Electromagnet, Holds the lever enclosure door closed, Disengaged, Engaged, 09
M, Antidote Door Sensor, Detects if antidote door is open or closed, Open, Closed, 09
N, Lever Door Sensor, Detects if lever door is open or closed, Open, Closed, 09
O, Emergency Lever, Activates emergency state, Activated, Deactivated, 11
P, Exit Door Electromagnet, Holds the entry/exit door closed, Disengaged, Engaged, 11
Q, Exit Door Sensor, Detects if entry/exit door is closed, Open, Closed, 11
